"Inspector","Arm","TotalInspections","Date","HouseRiskLevel"
"V7","A",1,"2018-05-07","4"
"V7","A",1,"2018-05-07","5"
"V7","A",1,"2018-05-07","5"
"V7","A",1,"2018-05-07","5"
"V7","A",1,"2018-05-07","4"
"V7","A",1,"2018-05-07","4"
"V7","A",1,"2018-05-07","5"
"V7","A",1,"2018-05-07","5"
"V7","A",1,"2018-05-08","4"
"V7","A",1,"2018-05-08","4"
"V7","A",1,"2018-05-08","5"
"V7","A",1,"2018-05-08","3"
"V7","A",1,"2018-05-08","4"
"V7","A",1,"2018-05-08","4"
"V7","A",1,"2018-05-08","4"
"V7","A",1,"2018-05-08","5"
"V7","A",1,"2018-05-08","2"
"V7","A",1,"2018-05-08","3"
"V7","A",1,"2018-05-08","2"
"V7","A",1,"2018-05-09","3"
"V7","A",1,"2018-05-09","2"
"V7","A",1,"2018-05-09","2"
"V7","A",1,"2018-05-09","3"
"V7","A",1,"2018-05-09","3"
"V7","A",1,"2018-05-09","5"
"V7","A",1,"2018-05-09","3"
"V7","A",1,"2018-05-09","3"
"V7","A",1,"2018-05-09","3"
"V7","A",1,"2018-05-09","4"
"V7","A",1,"2018-05-09","1"
"V7","A",1,"2018-05-10","2"
"V7","A",1,"2018-05-10","2"
"V7","A",1,"2018-05-10","2"
"V7","A",1,"2018-05-10","1"
"V7","A",1,"2018-05-10","2"
"V7","A",1,"2018-05-10","5"
"V7","A",1,"2018-05-10","1"
"V7","A",1,"2018-05-10","2"
"V7","A",1,"2018-05-10","2"
"V7","A",1,"2018-05-10","1"
"V7","A",1,"2018-05-10","2"
"V7","A",1,"2018-05-10","2"
"V7","A",1,"2018-05-10","5"
"V7","A",1,"2018-05-11","2"
"V7","A",1,"2018-05-11","5"
"V7","A",1,"2018-05-11","5"
"V7","A",1,"2018-05-11","1"
"V7","A",1,"2018-05-11","4"
"V7","A",1,"2018-05-11","4"
"V7","A",1,"2018-05-11","4"
"V7","A",1,"2018-05-11","5"
"V7","A",1,"2018-05-11","2"
"V7","A",1,"2018-05-11","3"
"V7","B",1,"2018-05-14","3"
"V7","B",1,"2018-05-14","3"
"V7","B",1,"2018-05-14","4"
"V7","B",1,"2018-05-14","4"
"V7","B",1,"2018-05-14","4"
"V7","B",1,"2018-05-14","4"
"V7","B",1,"2018-05-14","5"
"V7","B",1,"2018-05-14","3"
"V7","B",1,"2018-05-14","5"
"V7","B",1,"2018-05-14","5"
"V7","B",1,"2018-05-14","3"
"V7","B",1,"2018-05-15","3"
"V7","B",1,"2018-05-15","5"
"V7","B",1,"2018-05-15","5"
"V7","B",1,"2018-05-15","3"
"V7","B",1,"2018-05-15","3"
"V7","B",1,"2018-05-15","2"
