"Inspector","TotalInspections","Date","HouseRiskLevel","Arm"
"V4",1,"2018-11-05","1","B"
"V4",1,"2018-11-05","1","B"
"V4",1,"2018-11-05","1","B"
"V4",1,"2018-11-05","1","B"
"V4",1,"2018-11-05","1","B"
"V4",1,"2018-11-05","1","B"
"V4",1,"2018-11-05","1","B"
"V4",1,"2018-11-06","1","B"
"V4",1,"2018-11-06","1","B"
"V4",1,"2018-11-06","1","B"
"V4",1,"2018-11-06","1","B"
"V4",1,"2018-11-06","1","B"
"V4",1,"2018-11-06","2","B"
"V4",1,"2018-11-08","1","B"
"V4",1,"2018-11-08","1","B"
"V4",1,"2018-11-08","1","B"
"V4",1,"2018-11-08","1","B"
"V4",1,"2018-11-08","2","B"
"V4",1,"2018-11-08","4","B"
"V4",1,"2018-11-08","4","B"
"V4",1,"2018-11-09","4","B"
"V4",1,"2018-11-09","2","B"
"V4",1,"2018-11-09","2","B"
"V4",1,"2018-11-09","4","B"
"V4",1,"2018-11-14","3","B"
"V4",1,"2018-11-14","3","B"
"V4",1,"2018-11-14","5","B"
"V4",1,"2018-11-14","3","B"
"V4",1,"2018-11-14","1","B"
"V4",1,"2018-11-15","1","A"
"V4",1,"2018-11-15","1","A"
"V4",1,"2018-11-15","1","A"
"V4",1,"2018-11-15","1","A"
"V4",1,"2018-11-15","4","A"
"V4",1,"2018-11-16","2","A"
"V4",1,"2018-11-16","2","A"
"V4",1,"2018-11-16","2","A"
"V4",1,"2018-11-16","3","A"
"V4",1,"2018-11-16","2","A"
"V4",1,"2018-11-16","3","A"
"V4",1,"2018-11-16","3","A"
"V4",1,"2018-11-19","5","A"
"V4",1,"2018-11-19","1","A"
"V4",1,"2018-11-19","5","A"
"V4",1,"2018-11-19","3","A"
"V4",1,"2018-11-19","5","A"
"V4",1,"2018-11-19","5","A"
"V4",1,"2018-11-19","3","A"
"V4",1,"2018-11-20","5","A"
"V4",1,"2018-11-20","5","A"
"V4",1,"2018-11-20","5","A"
"V4",1,"2018-11-20","4","A"
"V4",1,"2018-11-20","4","A"
"V4",1,"2018-11-20","4","A"
"V4",1,"2018-11-20","4","A"
"V4",1,"2018-11-21","4","A"
"V4",1,"2018-11-21","5","A"
"V4",1,"2018-11-21","5","A"
"V4",1,"2018-11-21","2","A"
"V4",1,"2018-11-21","2","A"
"V4",1,"2018-11-21","2","A"
"V4",1,"2018-11-21","5","A"
"V4",1,"2018-11-21","3","A"
"V4",1,"2018-11-21","3","A"
"V4",1,"2018-11-21","1","A"
"V4",1,"2018-11-21","4","A"
"V5",1,"2018-11-05","5","B"
"V5",1,"2018-11-05","4","B"
"V5",1,"2018-11-05","3","B"
"V5",1,"2018-11-06","1","B"
"V5",1,"2018-11-06","1","B"
"V5",1,"2018-11-06","1","B"
"V5",1,"2018-11-06","1","B"
"V5",1,"2018-11-06","1","B"
"V5",1,"2018-11-06","1","B"
"V5",1,"2018-11-07","1","B"
"V5",1,"2018-11-07","1","B"
"V5",1,"2018-11-07","2","B"
"V5",1,"2018-11-07","3","B"
"V5",1,"2018-11-07","1","B"
"V5",1,"2018-11-07","1","B"
"V5",1,"2018-11-08","5","B"
"V5",1,"2018-11-08","5","B"
"V5",1,"2018-11-08","4","B"
"V5",1,"2018-11-08","4","B"
"V5",1,"2018-11-09","3","B"
"V5",1,"2018-11-09","3","B"
"V5",1,"2018-11-09","3","B"
