"Inspector","Arm","TotalInspections","Date","HouseRiskLevel"
"V1","A",1,2019-04-15,"1"
"V1","A",1,2019-04-15,"1"
"V1","A",1,2019-04-15,"3"
"V1","A",1,2019-04-15,"1"
"V1","A",1,2019-04-15,"2"
"V1","A",1,2019-04-15,"2"
"V1","A",1,2019-04-15,"1"
"V1","A",1,2019-04-15,"1"
"V1","A",1,2019-04-15,"3"
"V1","A",1,2019-04-16,"5"
"V1","A",1,2019-04-16,"2"
"V1","A",1,2019-04-16,"4"
"V1","A",1,2019-04-16,"5"
"V1","A",1,2019-04-16,"5"
"V1","A",1,2019-04-16,"3"
"V1","A",1,2019-04-16,"3"
"V1","A",1,2019-04-16,"3"
"V1","A",1,2019-04-16,"5"
"V1","A",1,2019-04-17,"5"
"V1","A",1,2019-04-17,"4"
"V1","A",1,2019-04-17,"2"
"V1","A",1,2019-04-17,"3"
"V1","A",1,2019-04-17,"2"
"V1","A",1,2019-04-17,"4"
"V1","A",1,2019-04-17,"3"
"V1","A",1,2019-04-17,"3"
"V1","A",1,2019-04-17,"4"
"V1","A",1,2019-04-22,"5"
"V1","A",1,2019-04-22,"5"
"V1","A",1,2019-04-22,"5"
"V1","A",1,2019-04-22,"2"
"V1","A",1,2019-04-22,"4"
"V1","A",1,2019-04-22,"2"
"V1","A",1,2019-04-22,"3"
"V1","A",1,2019-04-22,"5"
"V1","A",1,2019-04-23,"5"
"V1","A",1,2019-04-23,"5"
"V1","A",1,2019-04-23,"5"
"V1","A",1,2019-04-23,"2"
"V1","A",1,2019-04-23,"2"
"V1","A",1,2019-04-23,"1"
"V1","A",1,2019-04-23,"2"
"V1","A",1,2019-04-23,"4"
"V1","A",1,2019-04-23,"1"
"V2","A",1,2019-04-15,"4"
"V2","A",1,2019-04-15,"5"
"V2","A",1,2019-04-15,"4"
"V2","A",1,2019-04-15,"5"
"V2","A",1,2019-04-15,"5"
"V2","A",1,2019-04-15,"5"
"V2","A",1,2019-04-15,"5"
"V2","A",1,2019-04-16,"2"
"V2","A",1,2019-04-16,"2"
"V2","A",1,2019-04-16,"5"
"V2","A",1,2019-04-16,"2"
"V2","A",1,2019-04-16,"1"
"V2","A",1,2019-04-17,"4"
"V2","A",1,2019-04-17,"2"
"V2","A",1,2019-04-17,"3"
"V2","A",1,2019-04-17,"4"
"V2","A",1,2019-04-17,"2"
"V2","A",1,2019-04-17,"1"
"V2","A",1,2019-04-22,"1"
"V2","A",1,2019-04-22,"5"
"V2","A",1,2019-04-22,"1"
"V2","A",1,2019-04-22,"1"
"V2","A",1,2019-04-23,"4"
"V2","A",1,2019-04-23,"1"
"V2","A",1,2019-04-23,"3"
"V2","A",1,2019-04-23,"1"
"V2","A",1,2019-04-23,"1"
"V4","A",1,2019-04-08,"1"
"V4","A",1,2019-04-08,"5"
"V4","A",1,2019-04-09,"5"
"V4","A",1,2019-04-09,"5"
"V4","A",1,2019-04-09,"5"
"V4","A",1,2019-04-09,"3"
"V4","A",1,2019-04-10,"5"
"V4","A",1,2019-04-10,"2"
"V4","A",1,2019-04-10,"2"
"V4","A",1,2019-04-10,"3"
"V4","A",1,2019-04-10,"5"
"V4","A",1,2019-04-10,"3"
"V4","A",1,2019-04-11,"4"
"V4","A",1,2019-04-11,"3"
"V4","A",1,2019-04-11,"5"
"V4","A",1,2019-04-11,"3"
"V4","A",1,2019-04-12,"1"
"V4","A",1,2019-04-12,"2"
"V4","A",1,2019-04-12,"5"
"V4","A",1,2019-04-12,"5"
"V4","A",1,2019-04-12,"4"
"V5","A",1,2019-04-15,"5"
"V5","A",1,2019-04-15,"4"
"V5","A",1,2019-04-15,"3"
"V5","A",1,2019-04-15,"5"
"V5","A",1,2019-04-15,"4"
"V5","A",1,2019-04-16,"4"
"V5","A",1,2019-04-16,"1"
"V5","A",1,2019-04-16,"4"
"V5","A",1,2019-04-16,"1"
"V5","A",1,2019-04-16,"5"
"V5","A",1,2019-04-16,"2"
"V5","A",1,2019-04-17,"5"
