"Inspector","Arm","TotalInspections","Date","HouseRiskLevel"
"V7","D",1,"2018-03-14","4"
"V7","D",1,"2018-03-14","5"
"V7","D",1,"2018-03-14","4"
"V7","D",1,"2018-03-14","3"
"V7","D",1,"2018-03-14","2"
"V7","D",1,"2018-03-14","5"
"V7","D",1,"2018-03-14","5"
"V7","D",1,"2018-03-14","4"
"V7","D",1,"2018-03-15","5"
"V7","D",1,"2018-03-15","4"
"V7","D",1,"2018-03-15","5"
"V7","D",1,"2018-03-15","5"
"V7","D",1,"2018-03-15","4"
"V7","D",1,"2018-03-16","5"
"V7","D",1,"2018-03-16","5"
"V7","D",1,"2018-03-16","5"
"V7","D",1,"2018-03-19","4"
"V7","D",1,"2018-03-19","2"
"V7","D",1,"2018-03-19","2"
"V7","D",1,"2018-03-19","1"
"V7","D",1,"2018-03-20","1"
"V7","D",1,"2018-03-20","1"
"V7","D",1,"2018-03-20","1"
"V7","D",1,"2018-03-20","2"
"V7","C",1,"2018-03-21","1"
"V7","C",1,"2018-03-21","1"
"V7","C",1,"2018-03-21","1"
"V7","C",1,"2018-03-22","5"
"V7","C",1,"2018-03-22","4"
"V7","C",1,"2018-03-22","5"
"V7","C",1,"2018-03-22","5"
"V7","C",1,"2018-03-26","5"
"V7","C",1,"2018-03-26","5"
"V7","C",1,"2018-03-26","5"
"V7","C",1,"2018-03-26","1"
"V7","C",1,"2018-03-26","1"
"V7","C",1,"2018-03-26","1"
"V7","C",1,"2018-03-26","2"
"V7","C",1,"2018-03-26","1"
"V7","C",1,"2018-03-26","1"
"V7","C",1,"2018-03-27","3"
"V7","C",1,"2018-03-27","4"
"V7","C",1,"2018-03-27","2"
"V7","C",1,"2018-03-27","5"
"V7","C",1,"2018-03-27","5"
"V7","C",1,"2018-03-28","4"
"V7","C",1,"2018-03-28","4"
"V7","C",1,"2018-03-28","4"
"V7","C",1,"2018-03-28","3"
"V7","C",1,"2018-03-28","2"
"V7","C",1,"2018-03-28","4"
"V7","A",1,"2018-04-02","4"
"V7","A",1,"2018-04-02","1"
"V7","A",1,"2018-04-02","1"
"V7","A",1,"2018-04-02","4"
