"UNICODE" "codeLoc" "LATITUDE" "LONGITUDE" "recentinsp" "not_sprayed" "probability" "uncertainty" "time"
"1.10.38.740" "1.10.38" -16.40860623 -71.50454457 "1997-01-01" 1 0.0350762458229428 0.16318683470317 22
"1.10.38.772" "1.10.38" -16.40905009 -71.50521074 "2017-08-30" 1 0.0348113554649409 0.162123141561678 2
"1.10.38.837" "1.10.38" -16.40866779 -71.50568082 "2017-05-22" 1 0.0342142003816236 0.160853157348135 2
"1.10.38.952" "1.10.38" -16.40806277 -71.50619821 "2017-05-31" 1 0.0339904942414916 0.160142659756635 2
"1.10.38.623" "1.10.38" -16.40940898 -71.50665092 "2017-05-11" 0 0.0333508455107112 0.159693475821022 2
"1.10.38.764" "1.10.38" -16.40974653 -71.50536579 "2017-05-12" 0 0.0329320446139435 0.158356194400693 2
"1.10.38.822" "1.10.38" -16.40844307 -71.50540145 "2017-09-06" 1 0.0329081298863769 0.157617669069162 2
"1.10.38.626" "1.10.38" -16.40977191 -71.50695202 "2017-05-12" 0 0.0327641800472067 0.158306368374974 2
"1.10.38.829" "1.10.38" -16.40850237 -71.50503777 "2017-05-22" 1 0.0324082245502903 0.156331212139555 2
"1.10.38.821" "1.10.38" -16.4084931 -71.50551466 "2017-09-06" 1 0.03217875352185 0.155754708595144 2
"1.10.38.798" "1.10.38" -16.40916646 -71.50647352 "2017-05-16" 1 0.0321019589060903 0.155465002142695 2
"1.10.38.771" "1.10.38" -16.40905191 -71.50553631 "2017-05-12" 1 0.0318990857435181 0.154846154606261 2
"1.10.38.766" "1.10.38" -16.40930252 -71.50541415 "2017-08-30" 1 0.0317558956692824 0.154364360263527 2
"1.10.38.817" "1.10.38" -16.40855861 -71.50590959 "2017-09-06" 1 0.0315784250430535 0.15413684347576 2
"1.10.38.842" "1.10.38" -16.40886259 -71.50624498 "2017-05-25" 1 0.031422536627594 0.153732829801553 2
"1.10.38.918" "1.10.38" -16.40812515 -71.50536246 "2017-09-08" 1 0.0312404110006677 0.153257723932644 2
"1.10.38.791" "1.10.38" -16.40959903 -71.50578221 "2017-05-15" 1 0.0311809829080002 0.153075848390389 2
"1.10.38.563" "1.10.38" -16.40986843 -71.50717282 "2017-04-21" 1 0.0311538903042056 0.153106177769804 2
"1.10.38.941" "1.10.38" -16.4084439 -71.50719483 "2017-09-08" 1 0.0311392399987985 0.15275258339192 2
"1.10.38.820" "1.10.38" -16.40848413 -71.5056324 "2017-05-18" 1 0.0311041157651166 0.152950675345492 2
