"UNICODE","FECHA","INSP_COMPLETA"
"29.29.105.31","8/27/12",1
"29.29.105.28","8/27/12",1
"29.29.105.29","8/27/12",1
"29.29.105.27","8/27/12",1
"29.29.105.26","8/27/12",NA
"29.29.105.25","8/27/12",1
"29.29.105.24","8/27/12",1
"29.29.105.22","9/3/12",1
"29.29.105.21","9/3/12",1
"29.29.105.20","9/3/12",1
"29.29.105.19","9/3/12",1
"29.29.105.47","9/5/12",1
"29.29.105.50","9/5/12",1
"29.29.105.52","9/5/12",1
"29.29.105.1","9/3/12",NA
"29.29.105.5","9/3/12",NA
"29.29.105.6","9/3/12",1
"29.29.105.7","9/3/12",NA
"29.29.105.9","9/3/12",1
"29.29.105.14","9/3/12",1
"29.29.105.15","9/3/12",1
"29.29.105.17","9/3/12",NA
"29.29.105.19","9/5/12",1
"29.29.105.51","9/5/12",1
"29.29.105.53","9/5/12",1
"29.29.105.54","9/5/12",NA
"29.29.105.78","9/5/12",1
"29.29.105.80","9/5/12",1
"29.29.105.82","9/5/12",NA
"29.29.105.83","9/5/12",1
"29.29.105.85","9/5/12",1
"29.29.105.64","9/5/12",1
"29.29.105.65","9/5/12",1
"29.29.105.90","9/6/12",1
"29.29.105.94","9/6/12",NA
"29.29.105.97","9/6/12",1
"29.29.105.101","9/6/12",1
"29.29.105.105","9/6/12",NA
"29.29.105.112","9/6/12",1
"29.29.105.117","9/6/12",1
"29.29.105.73","9/6/12",1
"29.29.105.77","9/6/12",1
"29.29.105.79","9/6/12",1
"29.29.105.84","9/6/12",1
"29.29.105.87","9/6/12",1
"29.29.105.89","9/6/12",1
"29.29.105.92","9/6/12",1
"29.29.105.96","9/6/12",1
"29.29.105.99","9/6/12",1
"29.29.105.102","9/10/12",1
"29.29.105.103","9/10/12",1
"29.29.105.104","9/10/12",1
"29.29.105.113","9/10/12",1
"29.29.105.114","9/10/12",1
"29.29.105.116","9/10/12",1
"29.29.105.174","9/11/12",NA
"29.29.105.156","9/11/12",1
"29.29.105.155","9/11/12",1
"29.29.105.175","9/10/12",1
"29.29.105.157","9/10/12",1
"29.29.105.154","9/17/12",1
"29.29.105.176","9/17/12",1
"29.29.105.207","9/18/12",1
"29.29.105.211","9/18/12",1
"29.29.105.212","9/18/12",1
"29.29.105.216","9/18/12",1
"29.29.105.221","9/18/12",NA
"29.29.105.224","9/18/12",1
"29.29.105.314","10/10/13",1
"29.29.105.313","10/10/13",1
"29.29.105.312","10/10/13",1
"29.29.105.311","10/10/13",1
"29.29.105.310","10/10/13",1
"29.29.105.309","10/10/13",1
"29.29.105.307","10/10/13",NA
"29.29.105.305","10/10/13",1
"29.29.105.303","10/10/13",1
"29.29.105.302","10/10/13",NA
"29.29.105.327","10/16/13",1
"29.29.105.328","10/16/13",NA
"29.29.105.329","10/16/13",1
"29.29.105.329A","10/16/13",1
"29.29.105.330","10/16/13",1
"29.29.105.331","10/16/13",NA
"29.29.105.332","10/16/13",1
"29.29.105.333","10/16/13",1
"29.29.105.334","10/16/13",NA
"29.29.105.335","10/16/13",1
"29.29.105.357","10/17/13",1
"29.29.105.358","10/17/13",1
"29.29.105.359","10/17/13",1
"29.29.105.361","10/17/13",NA
"29.29.105.362","10/17/13",1
"29.29.105.364","10/17/13",1
"29.29.105.366","10/17/13",NA
"29.29.105.367","10/17/13",1
"29.29.105.369","10/17/13",NA
"29.29.105.372","10/17/13",1
"29.29.105.317","10/24/13",NA
"29.29.105.319","10/24/13",1
"29.29.105.320","10/24/13",1
"29.29.105.321","10/24/13",1
"29.29.105.322","10/24/13",1
"29.29.105.323","10/24/13",1
"29.29.105.324","10/24/13",1
"29.29.105.325","10/24/13",1
"29.29.105.325A","10/24/13",1
"29.29.105.326","10/24/13",1
"29.29.105.129","5/24/14",1
"29.29.105.127","5/24/14",1
"29.29.105.126","5/24/14",1
"29.29.105.125","5/24/14",1
"29.29.105.124","5/24/14",1
"29.29.105.123","5/24/14",1
"29.29.105.120","5/24/14",1
"29.29.105.121","5/24/14",1
"29.29.105.119","5/24/14",1
"29.29.105.118","5/24/14",1
"29.29.105.87","6/4/14",1
"29.29.105.117","6/4/14",1
"29.29.105.116","6/4/14",1
"29.29.105.115","6/4/14",1
"29.29.105.114","6/4/14",1
"29.29.105.113","6/4/14",1
"29.29.105.112","6/4/14",1
"29.29.105.111","6/4/14",1
"29.29.105.110A","6/4/14",1
"29.29.105.109","6/4/14",1
"29.29.105.108","6/11/14",1
"29.29.105.107","6/11/14",1
"29.29.105.106","6/11/14",1
"29.29.105.105","6/11/14",1
"29.29.105.104","6/11/14",NA
"29.29.105.101","6/11/14",NA
"29.29.105.100","6/11/14",NA
"29.29.105.99","6/11/14",1
"29.29.105.98","6/11/14",1
"29.29.105.97","6/11/14",NA
"29.29.105.129","1//2015",1
"29.29.105.127","1//2015",1
"29.29.105.126","1//2015",1
"29.29.105.125","1//2015",1
"29.29.105.124","1//2015",1
"29.29.105.123","1//2015",1
"29.29.105.120","1//2015",1
"29.29.105.121","1//2015",1
"29.29.105.119","1//2015",NA
"29.29.105.118","1//2015",1
"29.29.105.109","1//2015",1
"29.29.105.97","1//2015",1
"29.29.105.98","1//2015",1
"29.29.105.99","1//2015",1
"29.29.105.100","1//2015",NA
"29.29.105.101","1//2015",1
"29.29.105.104","1//2015",NA
"29.29.105.105","1//2015",1
"29.29.105.187","8//2016",1
"29.29.105.434","8//2016",1
"29.29.105.503","8//2016",1
"29.29.105.247","9//2016",1
"29.29.105.254","9//2016",1
"29.29.105.503","9//2016",1
"29.29.105.35","9//2016",1
"29.29.105.189","9//2016",1
"29.29.105.120","9//2016",1
"29.29.104.2","7/10/12",1
"29.29.104.4","7/10/12",1
"29.29.104.6","7/10/12",1
"29.29.104.7","7/10/12",1
"29.29.104.8","7/10/12",1
"29.29.104.9","7/10/12",1
"29.29.104.11","7/10/12",1
"29.29.104.14","7/10/12",1
"29.29.104.16","7/10/12",1
"29.29.104.17","7/12/12",1
"29.29.104.18","7/12/12",1
"29.29.104.19","7/12/12",1
"29.29.104.22","7/12/12",1
"29.29.104.23","7/12/12",1
"29.29.104.24","7/12/12",1
"29.29.104.25","7/12/12",1
"29.29.104.26","7/12/12",1
"29.29.104.27","7/12/12",1
"29.29.104.35","7/12/12",1
"29.29.104.36","7/12/12",1
"29.29.104.41","7/12/12",1
"29.29.104.42","7/12/12",1
"29.29.104.43","7/12/12",1
"29.29.104.44","7/12/12",1
"29.29.104.45","7/12/12",1
"29.29.104.46","7/12/12",1
"29.29.104.47","7/14/12",1
"29.29.104.48","7/14/12",1
"29.29.104.49","7/14/12",1
"29.29.104.40","7/14/12",1
"29.29.104.30","7/14/12",1
"29.29.104.31","7/14/12",1
"29.29.104.89","7/16/12",1
"29.29.104.90","7/16/12",1
"29.29.104.91","7/16/12",1
"29.29.104.104","7/16/12",1
"29.29.104.103","7/16/12",1
"29.29.104.102","7/16/12",NA
"29.29.104.101","7/16/12",1
"29.29.104.100","7/16/12",1
"29.29.104.99","7/16/12",1
"29.29.104.97","7/16/12",1
"29.29.104.95","7/17/12",1
"29.29.104.93","7/17/12",1
"29.29.104.92A","7/17/12",1
"29.29.104.92","7/17/12",1
"29.29.104.139","7/17/12",1
"29.29.104.138","7/17/12",1
"29.29.104.136","7/17/12",1
"29.29.104.133","7/17/12",1
"29.29.104.132","7/17/12",1
"29.29.104.131","7/17/12",1
"29.29.104.81","7/17/12",1
"29.29.104.79","7/17/12",1
"29.29.104.77","7/17/12",1
