"UNICODE","FECHA","INSP_COMPLETA"
"29.29.105.172","9/7/12",NA
"29.29.105.173","9/7/12",NA
"29.29.105.174","9/7/12",1
"29.29.105.175","9/7/12",NA
"29.29.105.176","9/7/12",NA
"29.29.105.152","9/10/12",NA
"29.29.105.153","9/10/12",NA
"29.29.105.154","9/10/12",NA
"29.29.105.155","9/10/12",NA
"29.29.105.156","9/10/12",NA
"29.29.105.157","9/10/12",1
"29.29.105.172","9/10/12",NA
"29.29.105.173","9/10/12",NA
"29.29.105.175","9/10/12",1
"29.29.105.176","9/10/12",NA
"29.29.105.177","9/10/12",NA
"29.29.105.152","9/11/12",NA
"29.29.105.153","9/11/12",NA
"29.29.105.154","9/11/12",NA
"29.29.105.155","9/11/12",1
"29.29.105.156","9/11/12",1
"29.29.105.172","9/11/12",NA
"29.29.105.173","9/11/12",NA
"29.29.105.176","9/11/12",NA
"29.29.105.177","9/11/12",NA
"29.29.105.152","9/17/12",NA
"29.29.105.153","9/17/12",NA
"29.29.105.154","9/17/12",1
"29.29.105.172","9/17/12",NA
"29.29.105.173","9/17/12",NA
"29.29.105.176","9/17/12",1
"29.29.105.177","9/17/12",NA
"29.29.105.152","9/21/12",NA
"29.29.105.153","9/21/12",NA
"29.29.105.172","9/21/12",NA
"29.29.105.173","9/21/12",NA
"29.29.105.177","9/21/12",NA
